from,to,demand
1,2,400
1,3,200
1,4,60
1,5,80
1,6,150
1,7,75
1,8,75
1,9,30
1,10,160
1,11,30
1,12,25
1,13,35
2,1,400
2,3,50
2,4,120
2,5,20
2,6,180
2,7,90
2,8,90
2,9,15
2,10,130
2,11,20
2,12,10
2,13,10
2,14,5
3,1,200
3,2,50
3,4,40
3,5,60
3,6,180
3,7,90
3,8,90
3,9,15
3,10,45
3,11,20
3,12,10
3,13,10
3,14,5
4,1,60
4,2,120
4,3,40
4,5,50
4,6,100
4,7,50
4,8,50
4,9,15
4,10,240
4,11,40
4,12,25
4,13,10
4,14,5
5,1,80
5,2,20
5,3,60
5,4,50
5,6,50
5,7,25
5,8,25
5,9,10
5,10,120
5,11,20
5,12,15
5,13,5
6,1,150
6,2,180
6,3,180
6,4,100
6,5,50
6,7,100
6,8,100
6,9,30
6,10,880
6,11,60
6,12,15
6,13,15
6,14,10
7,1,75
7,2,90
7,3,90
7,4,50
7,5,25
7,6,100
7,8,50
7,9,15
7,10,440
7,11,35
7,12,10
7,13,10
7,14,5
8,1,75
8,2,90
8,3,90
8,4,50
8,5,25
8,6,100
8,7,50
8,9,15
8,10,440
8,11,35
8,12,10
8,13,10
8,14,5
9,1,30
9,2,15
9,3,15
9,4,15
9,5,10
9,6,30
9,7,15
9,8,15
9,10,140
9,11,20
9,12,5
10,1,160
10,2,130
10,3,45
10,4,240
10,5,120
10,6,880
10,7,440
10,8,440
10,9,140
10,11,600
10,12,250
10,13,500
10,14,200
11,1,30
11,2,20
11,3,20
11,4,40
11,5,20
11,6,60
11,7,35
11,8,35
11,9,20
11,10,600
11,12,75
11,13,95
11,14,15
12,1,25
12,2,10
12,3,10
12,4,25
12,5,15
12,6,15
12,7,10
12,8,10
12,9,5
12,10,250
12,11,75
12,13,70
13,1,35
13,2,10
13,3,10
13,4,10
13,5,5
13,6,15
13,7,10
13,8,10
13,10,500
13,11,95
13,12,70
13,14,45
14,2,5
14,3,5
14,4,5
14,6,10
14,7,5
14,8,5
14,10,200
14,11,15
14,13,45
