id,lat,lon,terminal
1,25,12,1
2,8,5,1
3,25,9,1
4,24,18,1
5,6,25,1
6,20,25,1
7,5,16,1
8,3,25,1
9,9,11,1
10,10,2,1
11,11,8,1
12,8,1,1
13,9,23,1
14,19,12,1
15,25,3,1
16,3,4,1
17,8,7,1
18,16,6,1
19,22,23,1
20,21,20,1
21,15,9,1
22,1,11,1
23,18,16,1
24,23,14,1
25,2,9,1
26,10,23,1
27,7,7,1
28,12,25,1
29,8,11,1
30,26,18,1
31,4,8,1
32,6,1,1
33,24,25,1
34,17,14,1
35,11,18,1
36,10,16,1
37,17,20,1
38,20,26,1
39,20,19,1
40,25,23,1
41,2,26,1
42,12,20,1
43,1,4,1
44,19,9,1
45,21,1,1
46,15,19,1
47,1,25,1
48,1,19,1
49,26,20,1
50,6,5,1
51,22,10,1
52,10,15,1
53,12,12,1
54,3,22,1
55,21,22,1
56,12,9,1
57,8,13,1
58,10,18,1
59,13,16,1
60,12,4,1
61,19,1,1
62,18,4,1
63,1,6,1
64,3,12,1
65,12,14,1
66,21,26,1
67,22,19,1
68,17,26,1
69,10,2,1
70,24,17,1
