from,to,demand
1,2,540
1,3,140
1,4,260
1,5,220
1,6,185
1,7,565
1,8,250
1,9,780
1,10,690
1,11,500
1,12,705
1,13,250
1,14,505
1,15,510
1,16,245
1,17,470
1,18,90
1,19,640
1,20,705
1,21,520
1,22,45
1,23,755
1,24,50
1,25,200
1,26,305
1,27,335
1,28,135
1,29,755
1,30,105
1,31,605
1,32,515
1,33,250
1,34,95
1,35,765
1,36,660
1,37,125
1,38,315
1,39,375
1,40,595
1,41,705
1,42,780
1,43,580
1,44,500
1,45,675
1,46,305
1,47,720
1,48,635
1,49,730
1,50,340
1,51,60
1,52,730
1,53,495
1,54,605
1,55,465
1,56,800
1,57,135
1,58,570
1,59,135
1,60,65
1,61,510
1,62,445
1,63,620
1,64,45
1,65,40
1,66,470
1,67,610
1,68,150
1,69,430
1,70,460
1,71,485
1,72,35
1,73,220
1,74,145
1,75,425
1,76,590
1,77,735
1,78,25
1,79,660
1,80,680
1,81,380
1,82,300
1,83,65
1,84,140
1,85,540
1,86,475
1,87,535
1,88,365
1,89,635
1,90,365
1,91,720
1,92,60
1,93,510
1,94,650
1,95,260
1,96,430
1,97,695
1,98,430
1,99,635
1,100,470
1,101,710
1,102,355
1,103,75
1,104,745
1,105,335
1,106,425
1,107,555
1,108,45
1,109,275
1,110,635
2,1,540
2,3,10
2,4,45
2,5,220
2,6,290
2,7,625
2,8,155
2,9,330
2,10,560
2,11,665
2,12,440
2,13,730
2,14,735
2,15,495
2,16,730
2,17,720
2,18,280
2,19,800
2,20,715
2,21,295
2,22,630
2,23,265
2,24,130
2,25,595
2,26,510
2,27,480
2,28,195
2,29,230
2,30,640
2,31,470
2,32,245
2,33,240
2,34,185
2,35,405
2,36,455
2,37,60
2,38,135
2,39,410
2,40,435
2,41,410
2,42,100
2,43,125
2,44,330
2,45,555
2,46,625
2,47,510
2,48,470
2,49,780
2,50,425
2,51,235
2,52,160
2,53,175
2,54,355
2,55,455
2,56,735
2,57,255
2,58,225
2,59,500
2,60,180
2,61,140
2,62,15
2,63,415
2,64,5
2,65,445
2,66,445
2,67,60
2,68,320
2,69,620
2,70,460
2,71,325
2,72,420
2,73,315
2,74,55
2,75,625
2,76,615
2,77,455
2,78,495
2,79,475
2,80,495
2,81,195
2,82,635
2,83,565
2,84,595
2,85,115
2,86,5
2,87,595
2,88,650
2,89,455
2,90,45
2,91,260
2,92,750
2,93,685
2,94,550
2,95,135
2,96,545
2,97,65
2,98,450
2,99,370
2,100,535
2,101,350
2,102,25
2,103,355
2,104,375
2,105,10
2,106,475
2,107,245
2,108,665
2,109,735
2,110,215
3,1,140
3,2,10
3,4,240
3,5,75
3,6,585
3,7,575
3,8,500
3,9,305
3,10,505
3,11,415
3,12,525
3,13,700
3,14,265
3,15,450
3,16,25
3,17,180
3,18,630
3,19,235
3,20,50
3,21,560
3,22,515
3,23,520
3,24,710
3,25,135
3,26,535
3,27,310
3,28,555
3,29,245
3,30,520
3,31,290
3,32,735
3,33,315
3,34,545
3,35,605
3,36,160
3,37,545
3,38,635
3,39,585
3,40,145
3,41,85
3,42,655
3,43,785
3,44,605
3,45,730
3,46,490
3,47,370
3,48,40
3,49,480
3,50,630
3,51,655
3,52,180
3,53,590
3,54,545
3,55,780
3,56,330
3,57,45
3,58,255
3,59,255
3,60,395
3,61,45
3,62,80
3,63,195
3,64,630
3,65,700
3,66,500
3,67,270
3,68,220
3,69,30
3,70,700
3,71,200
3,72,790
3,73,105
3,74,430
3,75,305
3,76,630
3,77,735
3,78,290
3,79,730
3,80,100
3,81,30
3,82,725
3,83,745
3,84,475
3,85,50
3,86,710
3,87,680
3,88,455
3,89,370
3,90,55
3,91,310
3,92,595
3,93,420
3,94,400
3,95,665
3,96,15
3,97,215
3,98,115
3,99,30
3,100,235
3,101,720
3,102,135
3,103,795
3,104,110
3,105,375
3,106,300
3,107,530
3,108,700
3,109,240
3,110,220
4,1,260
4,2,45
4,3,240
4,5,65
4,6,150
4,7,610
4,8,730
4,9,520
4,10,415
4,11,565
4,12,40
4,13,715
4,14,540
4,15,135
4,16,405
4,17,430
4,18,500
4,19,775
4,20,460
4,21,465
4,22,750
4,23,50
4,24,530
4,25,80
4,26,490
4,27,645
4,28,30
4,29,420
4,30,240
4,31,530
4,32,480
4,33,50
4,34,715
4,35,765
4,36,145
4,37,60
4,38,795
4,39,345
4,40,610
4,41,740
4,42,700
4,43,775
4,44,240
4,45,570
4,46,725
4,47,700
4,48,665
4,49,30
4,50,725
4,51,505
4,52,460
4,53,595
4,54,410
4,55,695
4,56,115
4,57,530
4,58,475
4,59,415
4,60,200
4,61,780
4,62,735
4,63,525
4,64,90
4,65,415
4,66,385
4,67,55
4,68,315
4,69,645
4,70,630
4,71,100
4,72,330
4,73,640
4,74,205
4,75,470
4,76,30
4,77,550
4,78,665
4,79,560
4,80,285
4,81,395
4,82,230
4,83,215
4,84,615
4,85,470
4,86,435
4,87,795
4,88,620
4,89,470
4,90,635
4,91,440
4,92,65
4,93,380
4,94,680
4,95,325
4,96,190
4,97,435
4,98,300
4,99,610
4,100,620
4,101,280
4,102,775
4,103,285
4,104,155
4,105,75
4,106,255
4,107,770
4,108,515
4,109,170
4,110,270
5,1,220
5,2,220
5,3,75
5,4,65
5,6,275
5,7,720
5,8,405
5,9,450
5,10,635
5,11,285
5,12,180
5,13,660
5,14,65
5,15,70
5,16,250
5,17,685
5,18,380
5,19,260
5,20,370
5,21,540
5,22,460
5,23,675
5,24,65
5,25,210
5,26,555
5,27,350
5,28,260
5,29,40
5,30,250
5,31,345
5,32,495
5,33,195
5,34,680
5,35,710
5,36,745
5,37,455
5,38,245
5,39,620
5,40,410
5,41,495
5,42,550
5,43,70
5,44,575
5,45,240
5,46,190
5,47,255
5,48,230
5,49,205
5,50,100
5,51,535
5,52,225
5,53,200
5,54,460
5,55,45
5,56,660
5,57,30
5,58,215
5,59,245
5,60,530
5,61,505
5,62,570
5,63,225
5,64,800
5,65,245
5,66,405
5,67,110
5,68,720
5,69,195
5,70,55
5,71,295
5,72,795
5,73,170
5,74,235
5,75,405
5,76,505
5,77,315
5,78,545
5,79,105
5,80,60
5,81,40
5,82,445
5,83,715
5,84,470
5,85,430
5,86,520
5,87,330
5,88,210
5,89,490
5,90,510
5,91,610
5,92,190
5,93,235
5,94,20
5,95,235
5,96,285
5,97,520
5,98,490
5,99,605
5,100,710
5,101,720
5,102,65
5,103,425
5,104,40
5,105,640
5,106,255
5,107,190
5,108,215
5,109,115
5,110,160
6,1,185
6,2,290
6,3,585
6,4,150
6,5,275
6,7,670
6,8,600
6,9,600
6,10,215
6,11,95
6,12,40
6,13,225
6,14,530
6,15,505
6,16,460
6,17,165
6,18,330
6,19,230
6,20,670
6,21,610
6,22,695
6,23,335
6,24,595
6,25,60
6,26,770
6,27,550
6,28,210
6,29,590
6,30,385
6,31,700
6,32,260
6,33,450
6,34,200
6,35,110
6,36,195
6,37,295
6,38,555
6,39,35
6,40,555
6,41,210
6,42,690
6,43,440
6,44,370
6,45,125
6,46,205
6,47,315
6,48,775
6,49,420
6,50,100
6,51,735
6,52,370
6,53,725
6,54,235
6,55,630
6,56,45
6,57,175
6,58,625
6,59,560
6,60,730
6,61,490
6,62,440
6,63,605
6,64,705
6,65,720
6,66,685
6,67,550
6,68,330
6,69,40
6,70,195
6,71,15
6,72,310
6,73,730
6,74,245
6,75,695
6,76,120
6,77,250
6,78,335
6,79,170
6,80,615
6,81,195
6,82,710
6,83,240
6,84,155
6,85,580
6,86,770
6,87,725
6,88,565
6,89,655
6,90,695
6,91,715
6,92,185
6,93,505
6,94,200
6,95,355
6,96,630
6,97,575
6,98,200
6,99,595
6,100,730
6,101,675
6,102,780
6,103,115
6,104,690
6,105,610
6,106,610
6,107,370
6,108,310
6,109,90
6,110,365
7,1,565
7,2,625
7,3,575
7,4,610
7,5,720
7,6,670
7,8,120
7,9,235
7,10,305
7,11,740
7,12,155
7,13,525
7,14,320
7,15,155
7,16,30
7,17,645
7,18,255
7,19,600
7,20,475
7,21,240
7,22,655
7,23,715
7,24,475
7,25,655
7,26,445
7,27,655
7,28,35
7,29,680
7,30,95
7,31,125
7,32,585
7,33,165
7,34,595
7,35,695
7,36,170
7,37,585
7,38,495
7,39,415
7,40,770
7,41,150
7,42,165
7,43,530
7,44,595
7,45,300
7,46,785
7,47,30
7,48,265
7,49,525
7,50,35
7,51,110
7,52,195
7,53,690
7,54,735
7,55,10
7,56,200
7,57,490
7,58,790
7,59,785
7,60,500
7,61,760
7,62,300
7,63,185
7,64,455
7,65,450
7,66,225
7,67,700
7,68,680
7,69,520
7,70,580
7,71,215
7,72,100
7,73,125
7,74,535
7,75,270
7,76,495
7,77,625
7,78,590
7,79,590
7,80,50
7,81,185
7,82,375
7,83,720
7,84,440
7,85,50
7,86,640
7,87,620
7,88,410
7,89,25
7,90,785
7,91,195
7,92,725
7,93,360
7,94,55
7,95,80
7,96,295
7,97,415
7,98,305
7,99,5
7,100,575
7,101,280
7,102,530
7,103,140
7,104,500
7,105,340
7,106,545
7,107,145
7,108,710
7,109,130
