from,to,demand
1,3,4.90908
1,8,1.63638
1,18,1.27272
1,23,4.09092
1,31,2.8182
1,38,1.63638
1,39,3.2727
1,66,2.18184
1,67,6.90912
1,68,3.90912
2,1,1.18182
2,67,1.63638
3,1,2.18184
3,4,1.09092
3,8,1.09092
3,23,1.90908
3,39,1.36362
3,67,2.7273
3,68,1.36362
4,1,2.18184
4,23,1.63638
4,39,1.90908
4,67,1.36362
4,68,1.63638
5,68,1.63638
6,8,7.45452
6,23,2.7273
6,27,1.27272
6,28,1.45452
6,30,5.63634
6,32,2.54544
6,67,2.9091
7,67,1.18182
8,6,8.7273
8,23,1.27272
8,24,1.27272
8,30,4.72728
8,32,4.00002
8,66,2.36364
8,67,7.72728
8,68,2.54544
10,1,1.90908
12,22,1.45452
12,27,1.99998
12,31,1.99998
12,33,2.7273
12,59,6.1818
12,67,3.81816
12,68,1.27272
13,23,1.45452
13,24,1.09092
13,30,1.99998
13,31,1.45452
13,59,3.2727
13,67,1.45452
14,1,1.09092
14,32,1.27272
14,67,2.8182
15,19,1.09092
15,30,1.45452
15,67,1.81818
16,30,1.45452
16,67,1.81818
17,59,1.27272
17,67,1.27272
18,1,1.63638
18,23,1.27272
18,30,3.81816
18,32,3.63636
18,66,2.45454
18,67,3.63636
18,68,1.81818
19,13,1.45452
19,15,1.63638
21,12,1.27272
21,13,1.63638
21,59,1.27272
21,67,1.99998
22,31,1.90908
22,59,2.7273
22,67,1.90908
22,68,1.09092
23,1,4.90908
23,2,1.09092
23,4,1.63638
23,5,1.36362
23,13,1.81818
23,18,1.63638
23,19,1.27272
23,30,1.81818
23,32,2.54544
23,39,1.09092
23,66,1.00002
23,67,3.63636
23,68,1.63638
24,13,1.09092
24,30,1.45452
24,32,2.9091
24,67,6.36366
24,68,3.81816
25,30,1.27272
25,66,1.09092
27,8,1.09092
27,67,2.54544
28,67,1.63638
29,67,2.18184
30,23,1.45452
30,67,2.54544
31,8,1.27272
32,1,3.81816
32,2,1.09092
32,5,1.09092
32,15,1.99998
32,16,1.45452
32,18,4.54548
32,19,1.09092
32,23,4.54548
32,24,1.45452
32,25,1.81818
32,42,1.54548
32,44,1.00002
32,45,2.9091
32,48,1.81818
32,50,1.09092
32,51,2.18184
32,52,4.90908
32,55,1.72728
32,57,1.27272
32,59,1.27272
33,1,5.45454
33,3,1.36362
33,5,3.36366
33,6,5.09088
33,8,7.81818
33,12,4.18182
33,13,2.7273
33,14,2.9091
33,15,1.45452
33,16,1.63638
33,17,1.81818
33,18,5.8182
33,21,2.18184
33,22,1.45452
33,23,4.90908
33,24,2.18184
33,25,4.18182
33,27,3.45456
33,29,1.45452
33,32,1.09092
33,35,1.09092
33,36,1.36362
33,41,1.90908
33,42,1.63638
33,43,1.99998
33,44,1.54548
33,45,4.36362
33,48,3.54546
33,50,1.09092
33,51,3.54546
33,52,4.36362
33,53,1.63638
33,54,1.63638
33,55,2.36364
33,56,1.36362
33,57,1.81818
33,59,1.99998
33,60,1.45452
33,65,1.63638
33,70,1.63638
33,73,2.54544
33,75,1.27272
33,78,3.0909
34,1,4.27272
34,8,1.00002
34,14,1.45452
34,18,1.45452
34,23,2.8182
34,24,1.09092
34,51,1.09092
36,39,1.09092
36,66,1.36362
36,67,3.81816
36,68,1.36362
39,1,3.54546
39,5,1.09092
39,42,1.36362
39,43,1.00002
39,44,1.45452
40,43,1.63638
41,44,1.45452
41,67,2.54544
41,68,1.72728
42,44,1.63638
42,66,1.00002
42,67,3
42,68,4.63638
43,44,2.7273
43,59,1.63638
43,67,1.81818
43,68,1.09092
44,40,1.54548
44,43,3.1818
44,59,1.09092
44,67,2.09088
44,68,1.00002
45,67,1.45452
46,58,1.27272
46,60,1.45452
46,66,2.54544
46,67,1.81818
47,66,1.81818
47,67,1.36362
49,66,1.00002
50,51,1.36362
50,52,4.09092
50,55,1.09092
50,58,2.45454
50,66,1.63638
50,68,1.09092
51,50,1.90908
51,52,3.54546
51,55,1.09092
51,57,1.36362
51,58,6
51,59,2.18184
51,60,1.63638
51,63,1.36362
51,66,2.18184
51,67,5.18184
51,68,2.7273
52,50,3.81816
52,51,1.36362
52,58,4.09092
52,66,2.45454
52,67,1.90908
52,68,3
53,52,1.63638
53,55,1.63638
53,58,2.7273
53,59,1.09092
53,67,1.36362
54,45,1.09092
54,47,1.27272
54,50,1.09092
54,51,1.36362
54,52,1.36362
54,55,1.00002
54,58,1.90908
54,63,1.36362
54,66,2.45454
54,67,1.36362
55,50,1.09092
55,59,1.63638
55,60,1.45452
55,66,3.81816
55,67,5.09088
55,68,2.45454
55,71,1.09092
56,67,1.18182
57,45,2.36364
57,51,2.7273
57,52,1.90908
57,67,1.09092
58,45,1.45452
58,47,1.27272
58,51,2.45454
58,52,1.09092
58,53,1.90908
58,56,1.18182
58,66,1.99998
58,67,3.54546
59,12,4.00002
59,13,2.54544
59,17,1.45452
59,20,1.27272
59,22,2.54544
59,27,1.63638
59,45,1.45452
59,47,1.00002
59,48,1.27272
59,50,1.09092
59,51,1.63638
59,52,4.09092
59,54,1.09092
59,56,1.45452
59,60,1.00002
59,66,1.90908
59,67,8.45454
59,70,2.54544
59,73,1.09092
59,78,1.36362
60,47,1.45452
60,51,1.90908
60,52,3
60,55,1.09092
60,66,2.54544
60,67,5.8182
60,68,3.0909
62,52,1.63638
62,60,1.27272
65,59,1.54548
65,66,1.36362
65,67,2.54544
66,67,1.45452
67,1,3.63636
67,2,1.72728
67,3,1.90908
67,5,2.18184
67,6,1.99998
67,8,4.81818
67,10,1.45452
67,12,2.9091
67,13,2.36364
67,14,1.45452
67,16,1.09092
67,18,2.9091
67,19,1.09092
67,23,4.81818
67,24,1.63638
67,25,1.99998
67,27,3.63636
67,30,3.0909
67,32,1.36362
67,33,1.00002
67,35,1.36362
67,36,3.2727
67,39,1.00002
67,41,1.45452
67,42,1.81818
67,43,1.00002
67,44,1.81818
67,45,1.63638
67,47,1.36362
67,48,2.9091
67,49,1.72728
67,51,1.09092
67,52,5.18184
67,53,1.36362
67,54,5.09088
67,55,1.90908
67,56,2.09088
67,58,2.45454
67,59,3.54546
67,60,5.27274
67,62,1.54548
67,65,1.90908
67,70,2.54544
67,73,1.81818
67,75,1.27272
67,77,1.63638
67,78,2.8182
67,82,1.99998
68,67,1.27272
69,67,1.36362
70,66,3.36366
70,67,1.99998
70,68,1.45452
70,77,2.45454
71,1,1.45452
71,13,1.27272
71,45,2.18184
71,52,1.63638
71,67,1.27272
71,69,2.9091
72,67,1.00002
73,66,3.81816
73,67,2.36364
75,59,2.27274
75,66,2.18184
75,67,2.27274
75,73,1.45452
78,33,1.45452
78,67,2.63634
78,71,1.09092
80,67,1.18182
82,59,1.00002
82,66,1.09092
84,75,1.09092
