from,to,travel_time
1,2,10.384615
2,1,10.384615
2,3,4.5
2,7,5.893847
2,11,7.901538
3,2,4.5
3,4,2.833846
3,7,3.992308
4,3,2.833846
4,5,2.593846
4,6,4.832308
4,7,4.786154
5,4,2.593846
5,6,4.015384
5,8,2.861539
6,4,4.832308
6,5,4.015384
7,2,5.893847
7,3,3.992308
7,4,4.786154
7,9,3.816923
8,5,2.861539
8,10,1.370769
9,7,3.816923
9,12,4.68
9,14,1.32923
9,16,3.267693
10,8,1.370769
10,14,3.687693
10,23,1.204616
11,2,7.901538
11,12,4.283077
12,9,4.68
12,11,4.283077
12,13,2.404615
13,12,2.404615
13,15,0.973846
13,17,1.033846
14,9,1.32923
14,10,3.687693
14,16,1.938461
14,18,2.28
14,19,3.18
15,13,0.973846
15,16,1.038461
15,17,2.003077
16,9,3.267693
16,14,1.938461
16,15,1.038461
16,17,3.041539
17,13,1.033846
17,15,2.003077
17,16,3.041539
17,21,2.436923
18,14,2.28
18,19,0.946154
18,22,1.943077
18,25,1.924615
19,14,3.18
19,18,0.946154
19,20,2.893847
19,21,1.98923
20,19,2.893847
20,21,1.993846
20,22,2.007693
21,17,2.436923
21,19,1.98923
21,20,1.993846
22,18,1.943077
22,20,2.007693
22,26,1.878462
22,27,1.896923
23,10,1.204616
23,24,2.007693
23,25,1.389231
23,35,2.473846
24,23,2.007693
24,27,1.435385
24,29,1.855385
24,36,2.450769
25,18,1.924615
25,23,1.389231
25,27,1.966154
26,22,1.878462
26,28,1.878462
26,34,3.886154
27,22,1.896923
27,24,1.435385
27,25,1.966154
27,28,1.855385
28,26,1.878462
28,27,1.855385
28,29,1.458461
28,31,1.901538
29,24,1.855385
29,28,1.458461
29,30,1.86
29,37,2.469231
30,29,1.86
30,31,1.416923
30,32,1.878462
30,38,2.427693
31,28,1.901538
31,30,1.416923
31,33,1.896923
32,30,1.878462
32,33,1.393846
32,62,1.015385
32,63,2.889231
32,66,3.30923
33,31,1.896923
33,32,1.393846
33,34,1.818462
33,66,1.943077
33,68,2.681538
34,26,3.886154
34,33,1.818462
34,67,0.90923
35,23,2.473846
35,36,2.044616
36,24,2.450769
36,35,2.044616
36,37,1.86
37,29,2.469231
37,36,1.86
37,38,1.836923
38,30,2.427693
38,37,1.836923
38,39,1.92
39,38,1.92
39,40,4.860001
39,59,2.644615
39,62,1.393846
40,39,4.860001
40,41,4.181538
41,40,4.181538
41,42,3.955384
42,41,3.955384
42,43,3.516923
43,42,3.516923
43,44,4.089231
44,43,4.089231
45,46,3.752308
46,45,3.752308
46,47,2.487692
47,46,2.487692
47,48,2.109231
47,49,3.678461
48,47,2.109231
48,49,1.878462
48,54,2.243077
49,47,3.678461
49,48,1.878462
50,51,1.961539
51,50,1.961539
51,52,3.336923
52,51,3.336923
52,53,3.350769
53,52,3.350769
53,54,2.566154
54,48,2.243077
54,53,2.566154
54,55,3.387692
55,54,3.387692
55,56,2.16
55,57,2.607693
56,55,2.16
56,81,7.98
56,83,14.653846
57,55,2.607693
57,58,1.001538
57,59,3.623077
58,57,1.001538
58,60,1.587693
58,61,2.284616
58,81,4.444616
59,39,2.644615
59,57,3.623077
59,60,2.570769
59,62,4.038462
59,63,2.22
60,58,1.587693
60,59,2.570769
60,61,2.127692
60,64,2.238462
61,58,2.284616
61,60,2.127692
61,64,1.583077
61,65,0.927693
61,80,1.352308
62,32,1.015385
62,39,1.393846
62,59,4.038462
62,63,1.943077
63,32,2.889231
63,59,2.22
63,62,1.943077
63,64,1.01077
63,66,2.363077
64,60,2.238462
64,61,1.583077
64,63,1.01077
64,65,2.510769
64,69,3.184616
65,61,0.927693
65,64,2.510769
65,69,2.173846
65,70,3.106154
65,80,1.223077
66,32,3.30923
66,33,1.943077
66,63,2.363077
66,68,0.932308
66,69,1.795384
67,34,0.90923
67,68,1.813847
67,71,1.896923
68,33,2.681538
68,66,0.932308
68,67,1.813847
68,69,2.727692
68,71,1.873846
69,64,3.184616
69,65,2.173846
69,66,1.795384
69,68,2.727692
69,70,2.552307
69,71,2.663077
69,74,3.226154
70,65,3.106154
70,69,2.552307
70,73,0.867692
70,74,2.487692
70,80,2.723077
70,82,2.681538
71,67,1.896923
71,68,1.873846
71,69,2.663077
71,74,3.438461
72,73,2.870769
72,77,4.14
72,82,3.72
72,83,1.393846
73,70,0.867692
73,72,2.870769
73,75,3.124616
73,76,3.932308
73,82,1.813847
74,69,3.226154
74,70,2.487692
74,71,3.438461
74,75,1.615384
75,73,3.124616
75,74,1.615384
75,76,1.467692
76,73,3.932308
76,75,1.467692
76,77,2.316923
77,72,4.14
77,76,2.316923
77,78,1.518461
78,77,1.518461
78,79,3.923077
78,83,3.923077
79,78,3.923077
79,84,3.503077
80,61,1.352308
80,65,1.223077
80,70,2.723077
80,81,2.607693
80,82,2.700001
81,56,7.98
81,58,4.444616
81,80,2.607693
81,82,1.56
82,70,2.681538
82,72,3.72
82,73,1.813847
82,80,2.700001
82,81,1.56
83,56,14.653846
83,72,1.393846
83,78,3.923077
83,84,4.970769
84,79,3.503077
84,83,4.970769
