id,lat,lon,terminal
1,-30.875393,-55.60165,1
2,-30.876683,-55.591102,1
3,-30.889253,-55.586219,1
4,-30.885728,-55.577737,1
5,-30.872179,-55.574653,1
6,-30.879339,-55.567823,1
7,-30.888482,-55.570687,1
8,-30.892227,-55.580711,1
9,-30.898065,-55.584456,1
10,-30.896853,-55.577406,1
11,-30.896302,-55.57256,1
12,-30.882423,-55.562206,1
13,-30.884461,-55.563693,1
14,-30.886719,-55.56507,1
15,-30.890079,-55.567548,1
16,-30.896688,-55.569365,1
17,-30.883855,-55.560058,1
18,-30.889031,-55.55915,1
19,-30.890935,-55.561864,1
20,-30.892723,-55.563032,1
21,-30.895506,-55.564959,1
22,-30.897941,-55.566421,1
23,-30.900743,-55.568407,1
24,-30.903056,-55.564692,1
25,-30.900046,-55.562477,1
26,-30.897609,-55.561217,1
27,-30.89465,-55.559232,1
28,-30.891628,-55.556933,1
29,-30.896358,-55.555872,1
30,-30.899342,-55.558088,1
31,-30.9015,-55.559985,1
32,-30.904626,-55.561783,1
33,-30.905875,-55.559157,1
34,-30.903015,-55.556896,1
35,-30.900909,-55.555252,1
36,-30.902636,-55.551851,1
37,-30.899882,-55.549208,1
38,-30.901039,-55.547721,1
39,-30.902691,-55.544581,1
40,-30.902912,-55.547556,1
41,-30.904288,-55.548767,1
42,-30.904288,-55.553779,1
43,-30.90572,-55.554936,1
44,-30.907641,-55.556882,1
45,-30.910842,-55.563803,1
46,-30.911724,-55.571458,1
47,-30.913321,-55.577792,1
48,-30.91602,-55.581813,1
49,-30.919985,-55.581978,1
50,-30.907042,-55.551851,1
51,-30.909576,-55.55455,1
52,-30.90561,-55.546179,1
53,-30.907979,-55.550309,1
54,-30.908034,-55.546564,1
55,-30.909291,-55.54826,1
56,-30.910071,-55.550805,1
57,-30.911503,-55.550695,1
58,-30.91266,-55.551796,1
59,-30.915524,-55.553283,1
60,-30.918939,-55.555211,1
61,-30.917782,-55.558791,1
62,-30.918443,-55.562811,1
63,-30.921197,-55.565565,1
64,-30.922574,-55.567273,1
65,-30.920729,-55.557359,1
66,-30.922375,-55.555472,1
67,-30.922656,-55.559176,1
68,-30.924694,-55.560003,1
69,-30.927062,-55.561545,1
70,-30.904949,-55.541456,1
71,-30.907648,-55.542392,1
72,-30.909392,-55.545986,1
73,-30.910237,-55.542447,1
74,-30.904454,-55.538151,1
75,-30.904399,-55.535232,1
76,-30.905335,-55.531432,1
77,-30.906822,-55.529615,1
78,-30.910732,-55.529151,1
79,-30.914448,-55.531025,1
80,-30.911797,-55.535012,1
81,-30.910555,-55.537114,1
82,-30.911724,-55.54421,1
83,-30.916075,-55.549497,1
84,-30.908441,-55.541085,1
